Source,Target,Weight,Type
de_002,de_003,40,undirected
de_002,de_004,60,undirected
de_002,decd_006,20,undirected
de_003,de_002,40,undirected
de_003,de_004,50,undirected
de_003,decd_001,10,undirected
de_003,decd_002,10,undirected
de_003,decd_006,10,undirected
de_004,de_002,60,undirected
de_004,de_003,50,undirected
de_004,decd_006,10,undirected
decd_001,de_003,10,undirected
decd_001,decd_002,60,undirected
decd_001,decd_006,43,undirected
decd_002,de_003,10,undirected
decd_002,decd_001,60,undirected
decd_002,decd_006,47,undirected
decd_006,de_002,20,undirected
decd_006,de_003,10,undirected
decd_006,de_004,10,undirected
decd_006,decd_001,43,undirected
decd_006,decd_002,47,undirected
